Unnamed: 0,USAS Tags,f_Reference,Equivalent Tag,Equivalent_Tag
65,M3,19736,Vehicles and transport on land,Cerbydau a chludiant ar dir
69,G2.1,18263,Law and order,"Trosedd, cyfraith a threfn: Cyfraith a threfn"
70,A4.1,18064,Generally kinds/ groups/ examples,"Mathau, grwpiau, enghreifftiau yn gyffredinol"
71,I2.1,17540,Business: Generally,Busnes: Yn gyffredinol
73,K2,17148,Music and related activities,Cerddoriaeth a gweithgareddau cysylltiedig
74,X3.2,16935,Sensory: Sound,Synhwyrol: Clywed
75,A1.5.1,16867,Using,Defnyddio
78,W3,16541,Geographical terms,Termau daearyddol
79,C1,16416,Arts and crafts,Celf a chrefft
80,T1.1.1,16371,Time: Past,Amser: Cyffredinol: Gorffennol
81,O4.3,16010,Colour and colour patterns,Lliw a phatrymau lliw
82,W1,15238,The universe,Y bydysawd
84,F4,15139,Farming & Horticulture,Ffermio a garddwriaeth
87,G3,14600,Warfare/ defence and the army; weapons,"Rhyfela, amddiffyn a'r fyddin; arfau"
88,A13.2,14323,Degree: Maximizers,Gradd: Termau mwyhau
89,Q4.1,14206,The Media: Books,Y Cyfryngau:- Llyfrau
91,G1.2,13813,Politics,Gwleidyddiaeth
92,O1,13668,Substances and materials generally,Sylweddau a defnyddiau yn gyffredinol
96,X4.1,13038,Mental object: Conceptual object,Gwrthrych meddyliol: gwrthrych cysyniadol
98,I1,12656,Money generally,Arian yn gyffredinol
100,T1.1.2,12293,Time: Present; simultaneous,"Amser: Cyffredinol: Presennol, cydamserol"
102,A8,12024,Seem,Ymddangos
105,S3.2,11504,Relationship: Intimacy and sex,Perthynas: Agos iawn/rhywiol
106,A14,11375,Exclusivizers/particularizers,Pethau sy'n peri i rywbeth fod yn unigryw/pethau sy'n enwi pethau yn fanwl
107,I1.1,11297,Money and pay,Arian: Cyfoeth
108,H2,11008,Parts of buildings,Rhannau o adeiladau
109,I1.2,10942,Money: Debts,Arian: Dyledion
110,B5,10658,Clothes and personal belongings,Dillad ac eiddo personol
111,K4,10583,Drama/ the theatre and show business,"Drama, theatr a byd adloniant"
112,O4.4,10579,Shape,Siâp
113,A1.1.2,10520,Damaging and destroying,Difrodi a dinistrio
116,Q4.3,9804,The Media: TV/ Radio and Cinema,"Y Cyfryngau:- Teledu, Radio a'r Sinema"
117,Q4,9719,The Media,Y Cyfryngau
125,O4.1,9006,General appearance and physical properties,Ymddangosiad cyffredinol a nodweddion corfforol
126,N3.7,8592,Measurement: Length & height,Mesur: Hyd ac uchder
128,F2,8555,Drinks and alcohol,Diodydd
129,A1.4,8438,Chance/ luck,"Siawns, lwc"
130,H1,8321,Architecture/ houses and buildings,Pensaernïaeth a mathau o dai ac adeiladau
131,B3,8236,Medicines and medical treatment,Moddion a thriniaeth feddygol
133,M4,7971,Sailing/ swimming/ etc.,"Morgludiant, nofio ac ati"
135,B4,7562,Cleaning and personal care,Glanhau a gofal personol
138,S2.1,7200,People: Female,Pobl:- Benyw
139,S3.1,6905,Personal relationship: General,Perthynas: Cyffredinol
140,Q1.1,6893,Linguistic Actions/ States And Processes; Communication,"GWEITHREDIADAU, CYFLYRAU A PHROSESAU IEITHYDDOL; CYFATHREBU"
141,X4.2,6752,Mental object: Means/ method,"Gwrthrych meddyliol: moddion, dull"
145,H5,6322,Furniture and household fittings,Dodrefn a chelfi tŷ
146,I1.3,6309,Money: Cost and price,Arian: Prisiau
147,T1.1.3,6055,Time: Future,Amser: Cyffredinol: Dyfodol
149,L3,5736,Plants,Planhigion
150,A5.1,5729,Evaluation: Good/bad,Gwerthuso:- Da/drwg
153,H3,5449,Areas around or near houses,Ardaloedd o gwmpas neu wrth ymyl tai
154,T1,5394,Time,Amser
156,X3,5370,Sensory,Synhwyrol
159,N2,5038,Mathematics,Mathemateg
160,Q1.3,4954,Telecommunications,Telathrebu
161,Y1,4882,Science and technology in general,Gwyddoniaeth a thechnoleg yn gyffredinol
163,B2,4814,Health and disease,Iechyd a chlefyd
164,O1.1,4577,Substances and materials: Solid,Sylweddau a defnyddiau yn gyffredinol: Solid
165,T1.1,4522,Time: General,Amser: Cyffredinol
169,W5,4403,Green issues,Materion gwyrdd
171,X2.2,4305,Knowledge,Gwybodaeth
172,A7,4291,Probability,Penodol (+ moddau)
173,O3,4247,Electricity and electrical equipment,Trydan ac offer trydanol
175,I4,4037,Industry ,Diwydiant
176,N6,3910,Frequency,Amlder ac ati
178,Z3,3787,Other proper names,Enwau priod eraill
184,Q4.2,3409,The Media: Newspapers etc.,Y Cyfryngau:- Papurau Newydd ac ati
187,N3.3,3350,Measurement: Distance,Mesur: Pellter
189,W2,3161,Light,Golau
190,X2,3133,Mental actions and processes,Gweithrediadau a phrosesau meddyliol
191,W4,3070,Weather ,Tywydd
192,X3.3,3033,Sensory: Touch,Synhwyrol: Teimlo
199,M8,2826,Stationary,Aros/aros yn yr unfan
202,N3.1,2777,Measurement: General,Mesur: Cyffredinol
203,S2.2,2762,People: Male  ,Pobl:- Gwryw
207,A13.4,2692,Degree: Approximators,Gradd: Termau brasamcanu
215,O4.5,2378,Texture,Gweadedd
216,A1.9,2371,Avoiding,Osgoi
217,N3.2,2361,Measurement: Size ,Mesur: Maint
220,X3.1,2172,Sensory: Taste,Synhwyrol: Blasu
226,I3.2,1940,Work and employment: Professionalism,Gwaith a chyflogaeth: Proffesiynoldeb
229,L1,1886,Life and living things,Bywyd a phethau byw
231,A13.1,1852,Degree: Non-specific,Gradd: Amhenodol
232,N3.4,1836,Measurement: Volume,Mesur: Cyfaint
236,A6.1,1692,Comparing: Similar/different,Cymharu:- Tebyg/gwahanol
238,T1.2,1676,Time: Momentary,Amser: Byrhoedlog
239,F3,1656,Smoking and non-medical drugs,Sigarennau a chyffuriau
241,M5,1505,Flying and aircraft ,Awyrennau a hedfan
246,X6,1321,Deciding,Penderfynu
247,K5,1291,Sports and games generally,Chwaraeon a gemau yn gyffredinol
255,N3.6,1076,Measurement: Area,Mesur: Arwynebedd
261,N3.5,1012,Measurement: Weight,Mesur: Pwysau
263,K5.2,1000,Games,Gemau
267,S7.1,974,Power/ organizing,"Grym, trefnu"
268,O1.2,954,Substances and materials: Liquid,Sylweddau a defnyddiau yn gyffredinol: Hylif
269,K6,943,Children’s games and toys,Gemau a theganau plant
276,E1,814,Emotional Actions/ States And Processes General,"GWEITHREDIADAU, CYFLYRAU A PHROSESAU EMOSIYNOL Cyffredinol"
287,A13,631,Degree,Gradd
289,X3.5,589,Sensory: Smell,Synhwyrol: Arogli
293,A13.7,523,Degree: Minimizers,Gradd: Termau lleihau
298,K3,427,Recorded sound,Sŵn wedi'i recordio ac ati
302,A9,377,Getting and giving; possession,Derbyn a rhoi; meddiant
305,G2.2,340,General ethics,Moeseg gyffredinol
306,S7.3,322,Competition,Cystadleuaeth
309,S1.2,299,Personality traits,Nodweddion personoliaeth
310,X1,277,Psychological Actions/ States And Processes,"GWEITHREDIADAU, CYFLYRAU A PHROSESAU SEICOLEGOL"
317,O4.6,201,Temperature     ,Tymheredd
319,A3,192,Being,Bod
320,O1.3,183,Substances and materials: Gas,Sylweddau a defnyddiau yn gyffredinol: Nwy
328,X9.1,89,Ability and intelligence,"Gallu: gallu, deallusrwydd"
335,A1.6,70,Concrete/Abstract ,Corfforol/meddyliol
342,A1.5.2,42,Usefulness,Defnyddioldeb
343,N3,40,Measurement,Mesur
347,A6,22,Comparing,Cymharu
348,S7.4,18,Permission,Caniatâd
349,A2.1,17,Modify/ change,"Effeithio: Addasu, newid"
352,X2.6,15,Expect,Disgwyl
358,A1.2,8,Suitability,Priodoldeb
366,E2,1,Liking,Hoffi
